x,y,z,timestamp
60.0,50.0,10.0,2025-01-01 10:00:09
60.33,54.78,11.38,2025-01-01 10:00:19
58.26,59.72,12.76,2025-01-01 10:00:29
53.78,63.62,14.14,2025-01-01 10:00:39
47.49,65.31,15.52,2025-01-01 10:00:49
40.52,63.99,16.9,2025-01-01 10:00:59
34.34,59.42,18.28,2025-01-01 10:01:09
30.46,52.13,19.66,2025-01-01 10:01:19
30.07,43.28,21.03,2025-01-01 10:01:29
33.73,34.59,22.41,2025-01-01 10:01:39
41.19,27.9,23.79,2025-01-01 10:01:49
51.36,24.86,25.17,2025-01-01 10:01:59
62.44,26.54,26.55,2025-01-01 10:02:09
72.24,33.1,27.93,2025-01-01 10:02:19
78.63,43.7,29.31,2025-01-01 10:02:29
79.97,56.6,30.69,2025-01-01 10:02:39
75.53,69.41,32.07,2025-01-01 10:02:49
65.67,79.55,33.45,2025-01-01 10:02:59
51.89,84.78,34.83,2025-01-01 10:03:09
36.6,83.64,36.21,2025-01-01 10:03:19
22.71,75.85,37.59,2025-01-01 10:03:29
13.07,62.44,38.97,2025-01-01 10:03:39
9.89,45.64,40.34,2025-01-01 10:03:49
14.25,28.49,41.72,2025-01-01 10:03:59
25.81,14.32,43.1,2025-01-01 10:04:09
42.8,6.1,44.48,2025-01-01 10:04:19
62.27,5.81,45.86,2025-01-01 10:04:29
80.58,13.99,47.24,2025-01-01 10:04:39
94.13,29.58,48.62,2025-01-01 10:04:49
100.0,50.0,50.0,2025-01-01 10:04:59
