x,y,z,timestamp
150.0,53.0,15.0,2025-01-01T10:00:00
152.5,49.5,15.4,2025-01-01T10:00:05
155.0,58.0,15.8,2025-01-01T10:00:10
142.5,54.5,16.2,2025-01-01T10:00:15
145.0,63.0,14.6,2025-01-01T10:00:20
147.5,59.5,15.0,2025-01-01T10:00:25
135.0,68.0,15.4,2025-01-01T10:00:30
137.5,64.5,15.8,2025-01-01T10:00:35
140.0,73.0,14.2,2025-01-01T10:00:40
127.5,69.5,14.6,2025-01-01T10:00:45
130.0,78.0,15.0,2025-01-01T10:00:50
132.5,74.5,15.4,2025-01-01T10:00:55
120.0,83.0,13.8,2025-01-01T10:01:00
122.5,79.5,14.2,2025-01-01T10:01:05
125.0,88.0,14.6,2025-01-01T10:01:10
112.5,84.5,15.0,2025-01-01T10:01:15
115.0,93.0,13.4,2025-01-01T10:01:20
117.5,89.5,13.8,2025-01-01T10:01:25
105.0,98.0,14.2,2025-01-01T10:01:30
107.5,94.5,14.6,2025-01-01T10:01:35
110.0,103.0,13.0,2025-01-01T10:01:40
97.5,99.5,13.4,2025-01-01T10:01:45
100.0,108.0,13.8,2025-01-01T10:01:50
102.5,104.5,14.2,2025-01-01T10:01:55
90.0,113.0,12.6,2025-01-01T10:02:00
