x,y,z,timestamp
20.0,25,10.0,2025-01-01T10:00:00
21.5,13,11.1,2025-01-01T10:00:05
23.0,21,12.2,2025-01-01T10:00:10
24.5,9,13.3,2025-01-01T10:00:15
26.0,17,14.4,2025-01-01T10:00:20
27.5,5,10.5,2025-01-01T10:00:25
29.0,13,11.6,2025-01-01T10:00:30
30.5,1,12.7,2025-01-01T10:00:35
32.0,9,13.8,2025-01-01T10:00:40
33.5,-3,14.9,2025-01-01T10:00:45
35.0,5,11.0,2025-01-01T10:00:50
36.5,-7,12.1,2025-01-01T10:00:55
38.0,1,13.2,2025-01-01T10:01:00
39.5,-11,14.3,2025-01-01T10:01:05
41.0,-3,15.4,2025-01-01T10:01:10
42.5,-15,11.5,2025-01-01T10:01:15
44.0,-7,12.6,2025-01-01T10:01:20
45.5,-19,13.7,2025-01-01T10:01:25
47.0,-11,14.8,2025-01-01T10:01:30
48.5,-23,15.9,2025-01-01T10:01:35
50.0,-15,12.0,2025-01-01T10:01:40
51.5,-27,13.1,2025-01-01T10:01:45
53.0,-19,14.2,2025-01-01T10:01:50
54.5,-31,15.3,2025-01-01T10:01:55
56.0,-23,16.4,2025-01-01T10:02:00
